gen,best_fitness,mean_fitness,std_fitness,total_cross,total_mut,mean_size,size_best_individual
0,32.6,3.2700000000000005,95.58410000000002,0,0,3.6,3
1,32.5,6.51,168.87090000000006,3,2,3.3,3
2,31.6,12.64,239.65440000000004,3,1,3.5,3
3,35.7,28.559999999999995,203.91840000000002,2,1,3.2,3
4,31.9,31.9,0.0,3,1,3.0,3
5,34.4,34.39999999999999,5.048709793414476e-29,2,1,3.0,3
6,30.4,30.4,0.0,3,2,3.0,3
7,30.7,30.699999999999996,1.262177448353619e-29,3,1,3.0,3
8,31.4,31.4,0.0,3,1,3.0,3
9,35.2,35.199999999999996,5.048709793414476e-29,3,1,3.0,3
10,40.2,40.199999999999996,5.048709793414476e-29,3,2,3.0,3
11,41.8,41.800000000000004,5.048709793414476e-29,2,0,3.0,3
12,26.5,26.5,0.0,2,2,3.0,3
13,31.4,31.4,0.0,3,3,3.0,3
14,32.7,32.699999999999996,5.048709793414476e-29,2,0,3.0,3
15,32.5,32.5,0.0,3,2,3.0,3
16,38.2,38.199999999999996,5.048709793414476e-29,3,2,3.0,3
17,32.8,32.800000000000004,5.048709793414476e-29,3,2,3.0,3
18,33.5,33.5,0.0,3,3,3.0,3
19,31.4,31.4,0.0,3,2,3.0,3
20,34.5,34.5,0.0,3,3,3.0,3
21,30.3,30.300000000000004,1.262177448353619e-29,3,3,3.0,3
22,29.9,29.9,0.0,2,2,3.0,3
23,27.4,27.4,0.0,2,3,3.0,3
24,32.8,32.800000000000004,5.048709793414476e-29,3,3,3.0,3
25,35.1,35.10000000000001,5.048709793414476e-29,2,1,3.0,3
26,33.0,33.0,0.0,3,3,3.0,3
27,37.6,37.60000000000001,5.048709793414476e-29,3,1,3.0,3
28,34.8,34.800000000000004,5.048709793414476e-29,3,3,3.0,3
29,33.3,33.300000000000004,5.048709793414476e-29,2,0,3.0,3
30,35.8,35.800000000000004,5.048709793414476e-29,3,0,3.0,3
31,35.4,35.39999999999999,5.048709793414476e-29,3,0,3.0,3
32,32.4,32.39999999999999,5.048709793414476e-29,2,3,3.0,3
33,36.4,36.39999999999999,5.048709793414476e-29,2,2,3.0,3
34,32.3,32.300000000000004,5.048709793414476e-29,2,1,3.0,3
35,32.3,32.300000000000004,5.048709793414476e-29,2,1,3.0,3
36,40.2,40.199999999999996,5.048709793414476e-29,1,2,3.0,3
37,35.3,35.300000000000004,5.048709793414476e-29,3,4,3.0,3
38,31.0,31.0,0.0,3,1,3.0,3
39,36.2,36.199999999999996,5.048709793414476e-29,2,3,3.0,3
40,27.3,27.300000000000004,1.262177448353619e-29,3,1,3.0,3
41,33.5,33.5,0.0,3,1,3.0,3
42,34.8,34.800000000000004,5.048709793414476e-29,2,1,3.0,3
43,39.6,39.60000000000001,5.048709793414476e-29,2,4,3.0,3
44,30.6,30.6,0.0,3,0,3.0,3
45,35.2,35.199999999999996,5.048709793414476e-29,3,3,3.0,3
46,28.4,28.4,0.0,3,2,3.0,3
47,37.6,37.60000000000001,5.048709793414476e-29,3,2,3.0,3
48,31.9,31.9,0.0,2,3,3.0,3
49,30.4,30.4,0.0,2,0,3.0,3
